Course,Age at enrollment,Daytime/evening attendance,Area,Caste,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target,Previous Qualification
Other,14,0,Nagaland,Murg,1,0,0,1,Male,0,11,11.6,7.6,2.6,0.32,Graduate,6
Other,13,0,Maharashtra,Anjari,0,0,1,0,Male,0,0,0,12.4,0.5,1.79,Dropout,9
Biology,11,1,Kerala,Hariagens,0,0,0,1,Male,0,13.57142857,12.66666667,12.4,0.5,1.79,Graduate,8
Psychology,15,1,Goa,Bangali,0,0,0,1,Female,0,0,0,9.4,-0.8,-3.12,Dropout,6
Geography,15,1,Uttar Pradesh,Majhe,1,0,0,1,Male,0,11.25,12,7.6,2.6,0.32,Dropout,7
Art,16,1,Lakshadweep,Anjari,1,0,0,1,Male,0,13.33333333,11,7.6,2.6,0.32,Dropout,7
Music,10,1,Tripura,Kshtriya,0,0,0,1,Male,1,12,11.66666667,16.2,0.3,-0.92,Graduate,9
Music,10,1,Sikkim,Sutare,1,0,0,1,Male,0,12.5,13,12.4,0.5,1.79,Graduate,8
Economics,16,1,Meghalaya,Vellar,1,0,0,1,Male,1,13.2,12.66666667,16.2,0.3,-0.92,Graduate,7
Art,15,1,Telangana,Nisad,1,0,0,0,Male,0,0,0,7.6,2.6,0.32,Dropout,9
Art,11,1,Arunachal Pradesh,Kirishmam Vahaj,1,0,0,0,Male,0,11.66666667,11.5,7.6,2.6,0.32,Dropout,9
Economics,10,1,Orissa,Kewamkat,0,0,0,1,Male,0,13.46666667,13.64285714,9.4,-0.8,-3.12,Graduate,6
Computer Science,10,1,Chandigarh,Othei,0,0,0,1,Male,0,13.66666667,13.2,7.6,2.6,0.32,Graduate,9
Geography,11,1,Dadra & Nagar Haveli,Manker,0,0,0,1,Male,0,11.66666667,12.5,7.6,2.6,0.32,Enrolled,7
Music,14,1,Andhra Pradesh,Jaiswal,1,0,0,1,Male,1,11.66666667,10.2,12.4,0.5,1.79,Graduate,6
Biology,14,1,Bihar,Milala,0,0,0,1,Male,0,13.4,12.4,8.9,1.4,3.51,Graduate,6
Other,10,0,Daman & Diu,Deyar,0,0,0,0,Male,0,0,0,12.4,0.5,1.79,Dropout,7
Biology,15,1,Kerala,Ambacam,0,0,0,1,Male,0,0,0,13.9,-0.3,0.79,Dropout,9
Other,15,0,Haryana,Othei,1,0,0,0,Male,0,0,0,7.6,2.6,0.32,Dropout,7
Geography,14,1,Sikkim,Kalra,0,0,0,1,Male,0,10.66666667,10.5,15.5,2.8,-4.06,Enrolled,6
Art,11,1,Delhi,Thevar,0,0,0,1,Male,0,13.75,14.75,7.6,2.6,0.32,Graduate,9
Economics,11,1,Mizoram,Naveethm,1,0,0,1,Male,0,10,0,7.6,2.6,0.32,Dropout,6
Geography,14,1,Meghalaya,Chipa,0,0,0,0,Male,0,0,0,9.4,-0.8,-3.12,Dropout,8
Foreign Language,15,1,Haryana,Sowrstra,0,0,0,1,Male,0,16,15.5,13.9,-0.3,0.79,Graduate,7
Other,11,0,Andhra Pradesh,Schtlear,0,0,0,1,Male,0,12.28571429,11.125,16.2,0.3,-0.92,Graduate,6
Geography,13,1,Delhi,Dilai,1,0,1,0,Male,0,12,10.33333333,8.9,1.4,3.51,Enrolled,7
Psychology,14,1,Uttaranchal,Sai Teli,1,0,0,1,Male,0,12.66666667,12.66666667,7.6,2.6,0.32,Graduate,9
History,13,1,Himachal Pradesh,Muslim/Sayd,0,0,0,1,Male,1,11.8,13.25,10.8,1.4,1.74,Graduate,9
Other,15,0,Ladakh,Nisad,1,0,1,0,Male,0,10.6,14.66666667,10.8,1.4,1.74,Dropout,7
Biology,10,1,Tamil Nadu,Adiwari,0,0,0,1,Male,0,11.9,12.25,15.5,2.8,-4.06,Graduate,8
Geography,14,1,Himachal Pradesh,Satnami,1,0,0,1,Male,0,11.25,10.5,7.6,2.6,0.32,Dropout,8
Other,15,0,Jammu & Kashmir,Kamalar,0,0,0,1,Male,1,11,11.4,8.9,1.4,3.51,Enrolled,9
Music,11,1,Maharashtra,Bhaina,0,0,0,1,Male,0,12,12.5,12.7,3.7,-1.7,Graduate,8
Other,14,0,Madhya Pradesh,Shikari Pardhi,0,0,0,1,Male,0,11.75,10.83333333,13.9,-0.3,0.79,Enrolled,6
Economics,14,1,Daman & Diu,Vareth,0,0,0,1,Male,0,10,16,7.6,2.6,0.32,Dropout,6
Psychology,13,1,Andaman & Nicobar Islands,Munaliar,0,0,0,1,Male,0,13.71428571,13.71428571,12.7,3.7,-1.7,Graduate,8
Biology,10,1,Uttaranchal,Naveethm,0,0,0,1,Male,0,14.875,15.8,16.2,0.3,-0.92,Graduate,6
English,15,1,Chhattisgarh,Jasodi,1,0,0,1,Male,0,10.8,0,7.6,2.6,0.32,Dropout,8
Political Science,15,1,Haryana,Sudre,1,0,0,1,Male,0,12,10,11.1,0.6,2.02,Dropout,7
History,10,1,Mizoram,Sain,1,0,1,0,Male,0,12.5,13.5,12.4,0.5,1.79,Dropout,6
Psychology,11,1,Delhi,Van Nair,1,0,0,1,Female,0,14.72857143,16.32727273,16.2,0.3,-0.92,Graduate,7
Computer Science,10,1,Uttaranchal,Savaria Goad,1,0,0,1,Female,0,12,14.8,12.4,0.5,1.79,Graduate,7
Music,15,1,Uttaranchal,Sowrstra,1,0,0,1,Female,0,11.42857143,11,11.1,0.6,2.02,Dropout,8
Political Science,11,1,Ladakh,Bhaina,1,0,0,1,Female,0,14.16666667,13.5,12.4,0.5,1.79,Graduate,9
Political Science,14,1,Chhattisgarh,Patel,0,0,0,1,Female,0,12.5,14.6,12.7,3.7,-1.7,Graduate,6
Chemistry,11,0,West Bengal,Jaiswal,0,0,0,1,Female,1,14.16666667,14.33333333,12.7,3.7,-1.7,Graduate,8
Psychology,10,1,Lakshadweep,Ambalm,1,0,0,1,Female,1,14.46,13.55,12.4,0.5,1.79,Enrolled,9
History,10,1,West Bengal,Yadev,1,0,0,1,Female,0,12.8,11.5,12.4,0.5,1.79,Enrolled,6
Sociology,13,1,Rajasthan,Thevar,1,0,0,1,Female,0,12.66666667,13.4,11.1,0.6,2.02,Graduate,8
English,10,1,West Bengal,Asooy,1,0,0,1,Female,0,12.5,13,7.6,2.6,0.32,Dropout,6
English,15,1,Himachal Pradesh,Kushwaha,0,1,0,1,Female,0,0,0,15.5,2.8,-4.06,Dropout,6
Art,14,1,Kerala,Vellar,1,0,0,0,Female,0,0,0,8.9,1.4,3.51,Dropout,6
Physics,10,1,Uttaranchal,Kahi,1,0,0,1,Female,0,0,0,11.1,0.6,2.02,Graduate,7
Economics,16,1,Karnataka,Tshima Miar,1,0,0,1,Female,1,11.2,11,12.4,0.5,1.79,Graduate,9
Political Science,14,1,Delhi,Panka,1,0,0,1,Female,0,16.5,17.42857143,11.1,0.6,2.02,Dropout,9
History,12,1,Gujarat,Gujar,1,0,0,1,Female,0,13.66666667,12,12.7,3.7,-1.7,Graduate,6
Psychology,14,1,Lakshadweep,Dhobi,1,0,0,1,Female,1,15.22857143,15.22857143,12.7,3.7,-1.7,Graduate,6
Political Science,14,1,Meghalaya,Kanojia,1,0,0,1,Female,0,12.77777778,13.22222222,8.9,1.4,3.51,Graduate,8
Psychology,14,1,Orissa,Sudhar,0,0,0,1,Female,1,14.42857143,14.42857143,12.7,3.7,-1.7,Graduate,9
Art,16,1,Tripura,Mehra,1,0,0,1,Female,0,13.875,13.71428571,11.1,0.6,2.02,Graduate,9
Psychology,15,1,Maharashtra,M.B.C.,1,0,0,1,Female,0,13.128,13.19333333,15.5,2.8,-4.06,Graduate,6
Psychology,15,1,Chhattisgarh,Bangali,1,0,0,1,Female,0,11.605,12.4125,16.2,0.3,-0.92,Graduate,7
Economics,11,1,Telangana,Kewamkat,0,0,0,1,Female,1,14.6,12,12.7,3.7,-1.7,Graduate,9
Music,12,1,Punjab,Darji (Tailor),1,0,0,1,Female,0,0,0,11.1,0.6,2.02,Dropout,7
Economics,12,1,Kerala,Muslim/Sayd,1,0,0,1,Female,1,11.8,11.6,8.9,1.4,3.51,Graduate,6
Sociology,11,1,Punjab,Adiwari,1,0,0,1,Female,0,12.33333333,12.33333333,12.4,0.5,1.79,Graduate,9
Economics,11,1,Maharashtra,Mehteer,1,0,1,1,Female,1,11,0,11.1,0.6,2.02,Dropout,8
English,10,1,Rajasthan,Tshima Miar,0,0,0,1,Female,1,13.18181818,12.90909091,11.1,0.6,2.02,Graduate,8
Art,12,1,Tamil Nadu,Chawhan,1,1,1,0,Female,1,11,0,12.7,3.7,-1.7,Dropout,8
Music,15,1,Uttaranchal,Chetiar,1,0,1,1,Female,1,11.83333333,12.28571429,15.5,2.8,-4.06,Graduate,6
Psychology,14,1,Manipur,Murg,1,0,0,1,Female,1,12.98125,12.98125,9.4,-0.8,-3.12,Graduate,7
Economics,14,1,Rajasthan,Murg,1,0,0,1,Female,0,11.33333333,11.2,11.1,0.6,2.02,Graduate,9
Psychology,10,1,Pondicherry,Kachhi,0,0,0,1,Female,0,11.68,11.68,10.8,1.4,1.74,Graduate,6
English,12,1,Gujarat,Chettiar,0,0,0,1,Female,0,14.5,13.5,11.1,0.6,2.02,Graduate,8
Foreign Language,16,1,Tripura,Adiwari,1,0,0,1,Female,0,13.14285714,12.85714286,8.9,1.4,3.51,Graduate,6
History,16,1,Haryana,Padaychi,0,0,0,0,Female,0,11.5,10.5,7.6,2.6,0.32,Dropout,8
History,14,1,Sikkim,Ambalam,0,0,0,1,Female,0,14.2,11.8,7.6,2.6,0.32,Graduate,9
Sociology,11,1,Andhra Pradesh,Ambacam,0,0,0,1,Female,1,11.66666667,12.2,8.9,1.4,3.51,Graduate,7
Psychology,15,1,Pondicherry,Manigaicr,1,0,0,1,Female,0,13.175,14.875,13.9,-0.3,0.79,Graduate,6
Psychology,10,1,Kerala,Kumbhi,1,0,0,1,Female,1,13.31428571,13.31428571,12.7,3.7,-1.7,Graduate,9
Economics,15,1,Nagaland,Pillai,1,0,0,1,Female,1,10.6,10.5,13.9,-0.3,0.79,Graduate,9
Foreign Language,15,1,Lakshadweep,Parmyiar,0,0,0,1,Female,1,12,10.75,15.5,2.8,-4.06,Enrolled,7
Music,14,1,Goa,Bhunjwa,0,0,0,1,Female,0,13.42857143,14.14285714,13.9,-0.3,0.79,Graduate,7
History,13,1,Andaman & Nicobar Islands,Iyar,1,0,0,1,Female,1,13.25,15.57142857,10.8,1.4,1.74,Graduate,8
English,14,1,Dadra & Nagar Haveli,Chaman,1,0,0,1,Female,0,13,0,12.4,0.5,1.79,Dropout,6
English,10,1,Chandigarh,St,0,0,0,1,Female,1,14.33333333,14,11.1,0.6,2.02,Enrolled,8
Political Science,13,1,Dadra & Nagar Haveli,Chawhan,0,0,0,1,Female,0,0,0,11.1,0.6,2.02,Dropout,8
Political Science,13,1,Rajasthan,Monchi,0,0,0,1,Female,0,14,13.16666667,10.8,1.4,1.74,Graduate,7
History,10,1,Kerala,Schtlear,1,0,0,1,Female,1,12,12.83333333,13.9,-0.3,0.79,Graduate,8
Foreign Language,14,1,Jharkhand,Jain,0,0,0,1,Female,0,12.33333333,10.6,15.5,2.8,-4.06,Enrolled,9
English,15,1,Ladakh,Thakur,1,0,0,1,Female,0,11.8,10.4,16.2,0.3,-0.92,Graduate,7
Psychology,11,1,Orissa,Dhoby,0,0,0,1,Female,1,12.79142857,12.79142857,10.8,1.4,1.74,Graduate,7
Art,15,1,Dadra & Nagar Haveli,Muredhia,0,0,0,1,Female,0,11.625,11.2,9.4,-0.8,-3.12,Graduate,9
Psychology,11,1,Lakshadweep,Slaute,1,0,0,1,Female,1,11.99444444,12.43142857,15.5,2.8,-4.06,Graduate,7
Sociology,13,1,Assam,Deyar,1,0,0,1,Female,0,11.6,12.2,13.9,-0.3,0.79,Graduate,6
Other,16,0,Telangana,Mehteer,0,0,0,1,Female,0,0,0,12.4,0.5,1.79,Dropout,7
Music,11,1,Uttaranchal,Vinta,1,0,0,1,Female,0,13.16666667,13.16666667,10.8,1.4,1.74,Dropout,7
Psychology,10,1,Orissa,Banjara,1,0,0,1,Female,0,14.1,14.1,10.8,1.4,1.74,Graduate,9
Psychology,12,1,Bihar,Cheltian,1,0,0,1,Female,1,12.39666667,12.94285714,11.1,0.6,2.02,Graduate,6
Psychology,10,1,Tamil Nadu,Goad,0,0,0,1,Female,0,15.01428571,16.0875,12.4,0.5,1.79,Graduate,7
Physics,16,1,Jharkhand,Nayar,1,0,0,1,Female,1,0,0,13.9,-0.3,0.79,Graduate,9
Psychology,16,1,Chandigarh,Akamow Door,1,0,0,1,Female,0,14.05,15.1,13.9,-0.3,0.79,Graduate,8
Psychology,13,1,Manipur,Gara,1,0,0,1,Female,0,14.85,15.2,13.9,-0.3,0.79,Dropout,6
History,15,1,Assam,Varma,1,0,0,1,Female,0,13,13,12.4,0.5,1.79,Graduate,9
Psychology,15,1,West Bengal,Kumrawat,1,0,0,1,Female,1,14.7875,15.8625,13.9,-0.3,0.79,Graduate,7
Psychology,16,1,Goa,Katnatam,0,0,0,1,Female,1,13.7,14.67142857,12.4,0.5,1.79,Graduate,9
Psychology,15,1,Tamil Nadu,Varma,1,0,0,1,Female,1,12.49571429,12.24285714,11.1,0.6,2.02,Dropout,7
Psychology,15,1,Orissa,Nadar,0,0,0,1,Female,0,14.56666667,14.56666667,7.6,2.6,0.32,Graduate,9
Art,15,1,Jammu & Kashmir,Asrai,1,0,1,0,Female,0,11.2,11.25,9.4,-0.8,-3.12,Dropout,8
Psychology,11,1,Telangana,Bamam,0,0,0,1,Female,0,12.68571429,12.68571429,12.7,3.7,-1.7,Graduate,8
Political Science,16,1,Chandigarh,Muslman (Syed),0,0,1,0,Female,0,13.57142857,13.25,8.9,1.4,3.51,Dropout,9
English,11,1,West Bengal,Vasudev,0,0,0,1,Female,0,0,0,15.5,2.8,-4.06,Dropout,9
Chemistry,12,0,West Bengal,Patkar,0,0,0,1,Female,0,11,11.16666667,11.1,0.6,2.02,Graduate,8
Psychology,14,1,Chhattisgarh,Sudhar,0,0,0,1,Female,0,14.445,14.445,9.4,-0.8,-3.12,Graduate,6
Foreign Language,13,1,Nagaland,Teli,1,0,1,1,Female,0,13.6,11.75,9.4,-0.8,-3.12,Enrolled,8
Chemistry,13,0,Bihar,Sowrstra,1,0,1,0,Female,0,14,14.625,13.9,-0.3,0.79,Dropout,9
Psychology,10,1,Tamil Nadu,Asari,1,0,0,1,Female,1,13.41666667,13.41666667,7.6,2.6,0.32,Graduate,6
Economics,14,1,Uttar Pradesh,Panka,0,0,0,1,Female,0,12.33333333,11.4,15.5,2.8,-4.06,Graduate,6
Psychology,15,1,Himachal Pradesh,Jain,1,0,0,1,Female,0,13.1,14.8125,13.9,-0.3,0.79,Graduate,8
Art,14,1,Ladakh,Pathan,1,0,0,1,Female,0,13.2,12.8,12.4,0.5,1.79,Graduate,9
Psychology,14,1,Kerala,Asrai,1,0,0,1,Female,1,14.75,14.75,9.4,-0.8,-3.12,Graduate,9
Political Science,15,1,Chhattisgarh,Ambalam,1,0,0,1,Female,1,13.14285714,14.33333333,12.4,0.5,1.79,Graduate,8
Foreign Language,11,1,Rajasthan,Kadambram,0,0,0,1,Female,0,12.5,12.5,9.4,-0.8,-3.12,Enrolled,6
History,10,1,Karnataka,Kalar,0,0,0,1,Female,0,13.75,14.85714286,7.6,2.6,0.32,Graduate,6
Political Science,10,1,West Bengal,Sahu (Oilman),0,0,0,1,Female,0,12.4,13,9.4,-0.8,-3.12,Graduate,9
Music,11,1,Chandigarh,Yadav,1,0,0,1,Female,0,13.33333333,12,11.1,0.6,2.02,Graduate,8
Foreign Language,13,1,Ladakh,Kurma,0,0,0,0,Female,0,11.72727273,12,15.5,2.8,-4.06,Dropout,6
Sociology,15,1,Madhya Pradesh,Sutare,1,0,0,1,Female,0,12.5,14,7.6,2.6,0.32,Dropout,7
Physics,12,1,Dadra & Nagar Haveli,Thakur,1,0,1,1,Female,0,0,0,13.9,-0.3,0.79,Dropout,9
Psychology,12,1,Pondicherry,Pathan,1,0,0,1,Female,1,13.53333333,13.61428571,12.4,0.5,1.79,Graduate,6
English,11,1,Pondicherry,Saildar,0,1,0,1,Female,1,13.16666667,12.66666667,11.1,0.6,2.02,Graduate,8
Sociology,11,1,Madhya Pradesh,Vasudev,1,0,0,1,Female,1,13.2,11,12.4,0.5,1.79,Graduate,7
English,12,1,Dadra & Nagar Haveli,Chettiar,1,0,0,1,Female,0,12.2,12.6,8.9,1.4,3.51,Enrolled,9
Foreign Language,11,1,Manipur,Schedule Caste,1,0,0,1,Female,1,13.42857143,14.85714286,11.1,0.6,2.02,Graduate,9
English,12,1,Kerala,Cristan,1,0,0,1,Female,1,12.71428571,12.625,13.9,-0.3,0.79,Graduate,7
Computer Science,10,1,Orissa,Tshima Miar,0,0,0,1,Female,0,0,0,15.5,2.8,-4.06,Dropout,6
Art,15,1,Haryana,Basod,0,0,0,1,Female,1,13.66666667,13.66666667,8.9,1.4,3.51,Graduate,7
Music,10,1,Daman & Diu,Vasudev,0,0,1,1,Female,0,11,13.16666667,16.2,0.3,-0.92,Graduate,8
Foreign Language,12,1,Manipur,Lodhi,1,0,0,1,Female,0,11.4,13.33333333,13.9,-0.3,0.79,Enrolled,9
Physics,11,1,Chandigarh,Vashnav,0,0,0,1,Female,0,0,0,15.5,2.8,-4.06,Enrolled,8
Computer Science,16,1,Arunachal Pradesh,F.C.,0,0,0,1,Female,0,12,12,7.6,2.6,0.32,Graduate,8
Music,13,1,Bihar,Harjan,0,0,0,1,Female,0,0,0,8.9,1.4,3.51,Dropout,7
Political Science,14,1,Manipur,Kalar,1,0,0,1,Female,0,11,11.66666667,7.6,2.6,0.32,Graduate,6
Music,11,1,Orissa,Dhobi (Washerman),1,0,0,1,Female,0,12,11.57142857,15.5,2.8,-4.06,Dropout,6
Psychology,12,1,Tripura,Kewamkat,1,0,0,1,Female,1,13.30857143,12.55,12.4,0.5,1.79,Graduate,7
Foreign Language,13,1,Lakshadweep,Pallai,1,0,1,0,Female,0,13.66666667,10.66666667,15.5,2.8,-4.06,Dropout,7
Art,13,1,Madhya Pradesh,Milala,1,0,1,0,Female,0,0,0,10.8,1.4,1.74,Dropout,9
Sociology,13,1,Assam,Lular,1,0,0,1,Female,0,12.2,11.25,9.4,-0.8,-3.12,Graduate,7
Music,15,1,Haryana,S.C.,0,0,0,1,Female,1,12.66666667,12.83333333,10.8,1.4,1.74,Graduate,6
Psychology,14,1,Assam,Goundel,1,0,0,1,Female,1,14.07125,14.07125,9.4,-0.8,-3.12,Graduate,6
History,10,1,Lakshadweep,Kumbhi,1,0,0,1,Female,0,14.25,13.2,9.4,-0.8,-3.12,Dropout,9
Computer Science,16,1,Madhya Pradesh,Iyar,1,0,0,0,Female,0,0,0,9.4,-0.8,-3.12,Dropout,8
Foreign Language,14,1,Rajasthan,Nayar,1,0,0,1,Female,0,12,10.25,10.8,1.4,1.74,Enrolled,6
Economics,10,1,Delhi,Brahmin,0,0,0,1,Female,0,11.16666667,10.57142857,7.6,2.6,0.32,Enrolled,8
Political Science,14,1,Tripura,Reddy,1,0,0,1,Female,0,13,11.6,7.6,2.6,0.32,Graduate,9
Physics,16,1,Andaman & Nicobar Islands,Bania,1,0,0,1,Female,0,0,0,10.8,1.4,1.74,Dropout,8
Psychology,12,1,Bihar,Guvati,1,0,0,1,Female,1,14.90142857,14.90142857,9.4,-0.8,-3.12,Dropout,8
Psychology,12,1,Uttar Pradesh,Dhobi,1,0,1,1,Female,1,12.65,12.44555556,15.5,2.8,-4.06,Graduate,7
Other,12,0,Goa,Soni (Sunar),0,0,0,0,Female,0,11,10.6,8.9,1.4,3.51,Dropout,7
History,16,1,Lakshadweep,Sudhar,1,0,0,1,Female,0,12.4,12.66666667,7.6,2.6,0.32,Graduate,9
Biology,15,1,Goa,Othei,0,0,0,1,Female,0,12,12.66666667,12.4,0.5,1.79,Graduate,9
Psychology,13,1,Karnataka,Asari,1,0,0,1,Female,1,12.13571429,13.32857143,12.4,0.5,1.79,Graduate,8
Psychology,12,1,Delhi,Mooppar,1,0,0,1,Female,1,12.62,12.5,11.1,0.6,2.02,Enrolled,7
Other,14,0,Chhattisgarh,Sarathe,0,0,0,1,Female,0,10.66666667,11.33333333,15.5,2.8,-4.06,Enrolled,9
Psychology,16,1,Madhya Pradesh,Panka,0,0,0,1,Female,1,13.76666667,14.05142857,15.5,2.8,-4.06,Graduate,9
Psychology,13,1,Andhra Pradesh,Bhunjwa,1,0,0,1,Female,0,13.11625,13.11625,9.4,-0.8,-3.12,Graduate,8
English,10,1,Assam,Bamam,1,0,0,0,Female,0,0,0,10.8,1.4,1.74,Dropout,9
Psychology,10,1,Sikkim,Asari,0,0,0,1,Female,0,12.7,13.57142857,13.9,-0.3,0.79,Graduate,9
Physical Education,11,1,West Bengal,Savaria Goad,1,0,0,1,Female,0,11.85714286,11.7,12.4,0.5,1.79,Enrolled,7
Psychology,16,1,Orissa,Pathan,1,0,0,1,Female,1,12.33333333,12.33333333,7.6,2.6,0.32,Graduate,9
Political Science,15,1,Delhi,Kushwaha,1,0,0,1,Female,0,15.75,16.4,9.4,-0.8,-3.12,Enrolled,8
Art,12,1,Chandigarh,Schedule Caste,0,0,0,1,Female,0,13.33333333,13.2,7.6,2.6,0.32,Graduate,9
Psychology,11,1,Goa,Bangali,1,0,0,1,Female,0,14.35555556,13.49375,15.5,2.8,-4.06,Graduate,7
Biology,12,1,Maharashtra,Sowrstra,0,0,1,1,Female,1,13,13,15.5,2.8,-4.06,Graduate,7
Music,15,1,Punjab,Dilai,0,0,0,1,Female,1,12.83333333,13.5,16.2,0.3,-0.92,Graduate,7
Art,15,1,Haryana,Vashnav,0,0,0,1,Female,1,13.2,13,9.4,-0.8,-3.12,Graduate,7
Psychology,11,1,Kerala,Schedule Caste,0,0,0,1,Female,0,17.00555556,16.58222222,15.5,2.8,-4.06,Graduate,8
Political Science,14,1,Jharkhand,Akamow Door,1,0,1,0,Female,1,10.6,11,10.8,1.4,1.74,Graduate,6
Economics,10,1,Delhi,Asooy,0,0,0,1,Female,1,14,13.6,12.4,0.5,1.79,Graduate,9
Psychology,14,1,Haryana,Monchi,1,0,0,1,Female,1,12.11428571,12.11428571,12.7,3.7,-1.7,Graduate,7
Psychology,14,1,Manipur,Goad,1,0,0,1,Female,1,13.05875,13.05875,9.4,-0.8,-3.12,Graduate,6
Psychology,11,1,Gujarat,Manikpuri,1,0,0,1,Female,0,13.28571429,13.28571429,12.7,3.7,-1.7,Graduate,6
Economics,12,1,Jammu & Kashmir,Saildar,1,0,0,1,Female,0,11,10.66666667,12.4,0.5,1.79,Enrolled,8
Psychology,13,1,Tamil Nadu,Bhunjwa,0,0,0,1,Female,1,14.07142857,15.1625,13.9,-0.3,0.79,Graduate,9
Sociology,11,1,Arunachal Pradesh,Lular,0,0,0,0,Female,0,0,0,15.5,2.8,-4.06,Dropout,7
Physics,10,1,Karnataka,Vareth,0,0,0,0,Female,0,11.25,11,12.4,0.5,1.79,Dropout,6
English,11,1,Telangana,Padaychi,1,0,0,1,Female,1,14,13.625,10.8,1.4,1.74,Graduate,9
Sociology,12,1,Jammu & Kashmir,Manigaicr,1,0,0,1,Female,1,12.16666667,11.66666667,10.8,1.4,1.74,Dropout,7
Psychology,10,1,Chhattisgarh,Bhunjwa,1,0,0,1,Female,0,13.29714286,13.29714286,10.8,1.4,1.74,Graduate,7
History,12,1,Lakshadweep,Meher,1,0,0,1,Female,0,13.92307692,14.25,15.5,2.8,-4.06,Graduate,6
Psychology,12,1,Nagaland,Bharud,1,0,0,1,Female,0,13.37,12.83333333,15.5,2.8,-4.06,Graduate,6
Economics,15,1,Telangana,Kewamkat,0,0,0,1,Female,1,12.4,11,12.7,3.7,-1.7,Enrolled,7
Art,14,1,Tripura,Vasudev,1,0,0,1,Female,0,15,13.75,7.6,2.6,0.32,Dropout,7
Foreign Language,15,1,Maharashtra,Kewamkat,0,0,1,1,Female,1,13.33333333,12.57142857,12.7,3.7,-1.7,Graduate,8
Economics,14,1,Maharashtra,Nai (Barber),1,0,0,1,Female,1,12,12.625,10.8,1.4,1.74,Enrolled,7
Chemistry,16,0,Jammu & Kashmir,Kshtriya,1,0,0,1,Female,0,13.4,12.2,7.6,2.6,0.32,Graduate,6
Physics,10,1,Daman & Diu,Chipa,1,0,0,1,Female,0,0,0,7.6,2.6,0.32,Enrolled,7
Other,10,0,Jharkhand,Chetiar,0,0,0,1,Female,0,11.5,11.4,8.9,1.4,3.51,Graduate,9
Foreign Language,10,1,Orissa,Majhe,0,0,0,1,Female,0,12,12.16666667,13.9,-0.3,0.79,Enrolled,6
Psychology,15,1,Mizoram,Sudhar,0,0,0,1,Female,0,13.48571429,13.48571429,12.7,3.7,-1.7,Graduate,8
English,10,1,Himachal Pradesh,Iyar,0,1,0,1,Female,1,12,11.28571429,8.9,1.4,3.51,Graduate,7
Physics,14,1,Tripura,Kallar,1,0,0,1,Female,0,0,0,15.5,2.8,-4.06,Dropout,9
Economics,15,1,Jammu & Kashmir,M.B.C.,1,0,0,1,Female,0,10.33333333,14.42857143,10.8,1.4,1.74,Enrolled,6
Psychology,14,1,Sikkim,Kurmi,1,0,0,1,Female,0,12.94,13.76,16.2,0.3,-0.92,Enrolled,7
Psychology,14,1,Manipur,Parmyiar,1,0,0,1,Female,0,13.25857143,13.25857143,10.8,1.4,1.74,Graduate,9
Economics,11,1,Dadra & Nagar Haveli,Vallalam,1,0,0,1,Female,0,12.25,12,8.9,1.4,3.51,Enrolled,8
Sociology,10,1,Pondicherry,Satnami,1,0,0,0,Female,0,11.66666667,10,10.8,1.4,1.74,Dropout,9
Sociology,12,1,Chandigarh,Cristan,1,0,0,1,Female,1,13.57142857,12.5,8.9,1.4,3.51,Graduate,6
Music,16,1,Nagaland,Sachiyar,0,0,0,1,Female,1,11.8,11.83333333,15.5,2.8,-4.06,Graduate,8
Economics,10,1,Gujarat,Ahir,1,0,0,1,Female,1,14.2,13.28571429,11.1,0.6,2.02,Graduate,9
Other,13,0,Nagaland,Teli,0,0,0,1,Female,0,11,11.8,7.6,2.6,0.32,Graduate,8
Psychology,13,1,Orissa,Kalar,1,0,0,1,Female,0,13.625,12.6375,12.4,0.5,1.79,Enrolled,6
Psychology,11,1,Pondicherry,Schtlear,1,0,0,1,Female,0,14.65285714,14.65285714,10.8,1.4,1.74,Graduate,6
Chemistry,11,0,Mizoram,Vijmar,0,0,0,1,Female,1,11.33333333,11.33333333,15.5,2.8,-4.06,Graduate,9
Psychology,12,1,Meghalaya,Munaliar,0,0,1,0,Female,0,13.7,0,16.2,0.3,-0.92,Dropout,7
Chemistry,16,0,Maharashtra,Kallar,0,0,0,1,Female,0,13.72727273,14.75,12.4,0.5,1.79,Graduate,8
Economics,14,1,Ladakh,Satnami,0,0,0,1,Female,0,11.75,11.14285714,12.7,3.7,-1.7,Dropout,7
Music,16,1,Andhra Pradesh,Sutare,0,0,0,1,Male,0,12.33333333,13,7.6,2.6,0.32,Graduate,8
Music,16,1,Rajasthan,Nayar,1,0,0,1,Female,1,14,13.85714286,15.5,2.8,-4.06,Dropout,6
Art,16,1,Ladakh,Pantaram,0,0,0,1,Male,0,11.5,11.75,9.4,-0.8,-3.12,Graduate,9
Economics,15,1,Chandigarh,"Badai (Khati, Carpenter)",0,0,0,1,Male,0,11.2,13.2,12.4,0.5,1.79,Graduate,6
Psychology,16,1,Maharashtra,Nai (Barber),1,0,0,1,Male,1,15.07,15.07,10.8,1.4,1.74,Graduate,8
Geography,14,1,Bihar,Manikpuri,0,0,0,1,Male,0,10,12,10.8,1.4,1.74,Dropout,8
